JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
novaEstágio em Business Intelligence | Foco em Diversidade,BETC HAVAS,"São Paulo, SP",há 2 dias,2021-10-18,"Montar relatórios em apresentação, planilha ou dashboards para reportar ao cliente; Trazer aprendizados e inteligência para o planejamento, mídia e outras áreas…",Não informado
novaEstágio em Business Intelligence,General Electric,"São Paulo, SP",há 2 dias,2021-10-18,Será membro ativo do grupo de Business Intelligence da área de Grid Automation para a Amércia Latina. Implementar a integração dos relatórios operacionais…,Não informado
novaAnalista de Business Intelligence,Sala Servicos e Comércio de Artigos de Joalheria...,"São Paulo, SP",há 3 dias,2021-10-18,"; Limpeza de dados (identificação, correção de informações duplicadas, inválidas ou corrompidas); Organizar o material para obter insights valiosos para a…",R$ 2.585 - R$ 7.233 por mês
Estagiário de Business Intelligence (BI),Mobly,"São Paulo, SP",há 30+ dias,2021-10-18,VAGA PARA TRABALHO REMOTO A Mobly é uma empresa de tecnologia que desde 2011 atua no comércio online de móveis e artigos de decoração. Sempre buscamos…,Não informado
Analista de Business Intelligence Júnior,Mirum,"São Paulo, SP",há 23 dias,2021-10-18,Nesse período de pandemia estamos trabalhando 100% remoto e nosso modelo de trabalho no retorno será híbrido. Gerar insights relevantes para o negócio e para os…,Não informado
Estágio em Business Intelligence,Padtec,"Campinas, SP",há 30 dias,2021-10-18,"Transformar dados em informações/apresentações para análise de projetos; Familiaridade com Programação, Data Science, Business Inteligence, Power BI.",Não informado
Analista de Business Intelligence,Ara Vartanian,"São Paulo, SP",há 30+ dias,2021-10-18,"; Limpeza de dados (identificação, correção de informações duplicadas, inválidas ou corrompidas); Organizar o material para obter insights valiosos para a…",R$ 3.500 - R$ 5.000 por mês
Analista de Business Intelligence - Maracaí,Jobbol,"Assis, SP+1 local",há 12 dias,2021-10-18,"Empresa de Agronegócios admite Analista de Business Intelligence em Assis ( Maracaí) para atuar em Tempo integral, Comercial. Responsável por otimizar os…",Não informado
Analista de Business Intelligence,Mundial Logistics Group,"Guarulhos, SP",há 17 dias,2021-10-18,"Necessária experiência, formação em Administração, Ciência da Computação, Tecnologia da Informação ou áreas afins.",R$ 3.000 - R$ 4.000 por mês
Estagiário de Business Intelligence,Evino,"São Paulo, SP",há 27 dias,2021-10-18,Participar das cerimônias de priorização / planning de tarefas; Disponibilidade para aprender diversos assuntos simultâneos. Cursos online sobre os temas acima.,Não informado
novaBUSINESS INTELLIGENCE ANALYST JUNIOR,Agibank,"Campinas, SP",há 1 dia,2021-10-18,"Pensar como cliente, o que significa começar sempre pelas suas dores e tomar apenas atitudes que o fazem prosperar.",Não informado
Estagiário - Business Intelligence,Cescon Barrieu,"São Paulo, SP",há 25 dias,2021-10-18,Aqui você encontra um ambiente amigável e muitas oportunidades para trabalhar em operações e nos casos mais interessantes e relevantes do Brasil.,Não informado
Estágio em Business Intelligence,WarnerMedia,"Barueri, SP",há 10 dias,2021-10-18,"JOB DESCRIPTION Company OverviewWarnerMedia is a powerful portfolio of iconic entertainment, news, and sports brands. We bring people, technology, and the…",Não informado
Analista Pleno em Business Intelligence/Analytics,Nestlé,"Ribeirão Preto, SP",há 10 dias,2021-10-18,"Inglês e Espanhol avançado/fluente será um diferencial. Experiência na utilização de serviços de Analytics da plataforma Azure: Data Factory, Databricks,…",Não informado
Gerente de Business Intelligence,Eduzz,"Sorocaba, SP",há 30+ dias,2021-10-18,Desenhar a estrutura de dados utilizada para os Processos de BI.,Não informado
Gerente de Business Intelligence,Eduzz,"Sorocaba, SP",há 30+ dias,2021-10-18,Desenhar a estrutura de dados utilizada para os Processos de BI.,Não informado
Business Intelligence Analyst,MATH,"São Paulo, SP",há 13 dias,2021-10-18,"Profissional de nível pleno, com experiência em ETL, SQL, experiência em desenvolvimentos de dashboards através de ferramentas como Power BI e Tableau.",Não informado
Estágio em Business Intelligence,GE Renewable Energy,"São Paulo, SP",há 13 dias,2021-10-18,Será membro ativo do grupo de Business Intelligence da área de Grid Automation para a Amércia Latina. Implementar a integração dos relatórios operacionais…,Não informado
novaBusiness Analytics - Coordenação,Nestlé,"São Paulo, SP",há 3 dias,2021-10-18,"“Para a Nestlé, o respeito pela inclusão, diversidade e igualdade de oportunidades é muito importante. Diferencial :Salesforce, Web Development (qualquer…",Não informado
Estagiário de Business Intelligence (BI),UELLO,"São Paulo, SP",há 30+ dias,2021-10-18,"Experiência com ferramentas de visualização de dados ( Ex. Metabase , PowerBI, Tableau, Data Studio). Experiências anteriores com projetos de dados.",Não informado
novaAnalista Business Intelligence,Bluebox Comunicação,"São Paulo, SP",há 4 dias,2021-10-18,"Estamos à procura de um novo blueboxer, talentoso e cheio vontade e boas ideias, que seja apaixonado por BI, números e resultados! Atribuições: Planejamento…",Não informado
COORDENADOR DE BUSINESS INTELLIGENCE E PLANEJAMENTO COMERCIA...,OEmprego,"Adamantina, SP",há 30+ dias,2021-10-18,Definição de KPIs com objetivo de ajudar na tomada de decisão da diretoria comercial; Zelar pela acuracidade e confiabilidade das informações geradas pela…,R$ 10.000 por mês
Estagiário de Business Intelligence & Alocação e Produtos,Monte Bravo,"São Paulo, SP",há 26 dias,2021-10-18,"Phyton, powerBI, R seria um diferencial. Empresa em expansão, nosso time dobrou nos últimos 6 meses. Venha fazer parte do nosso time Raça Forte!",Não informado
Analista de Business Intelligence Júnior,Lendico Brasil,"São Paulo, SP",há 23 dias,2021-10-18,"Estruturar o projeto de dados, incluindo preparação de dados, entrega de solução e análise de negócios; Experiência prévia com Business Intelligence .",Não informado
Analista Sênior de Business Intelligence,Nestlé,"Ribeirão Preto, SP",há 10 dias,2021-10-18,Alto conhecimento na ingestão de dados com uso de arquitetura de computação em nuvem. Experiência superior a 1 ano na utilização de serviços de Analytics da…,Não informado
Business Intelligence - Analista Produtos III,VR Benefícios,"São Paulo, SP",há 30+ dias,2021-10-18,Todas as nossas oportunidades também são para PCDs (Pessoas com Deficiências).,Não informado
Analista de Business Intelligence (Cód. 2128),Rede Cidadã,"São Paulo, SP",há 10 dias,2021-10-18,"Curso superior completo preferencialmente em Estatística, Matemática, Administração de Empresas, Sistemas de Informação ou áreas afins;",Não informado
novaAnalista de Business Intelligence,Funchal Negócios e Empreendimentos,"São Paulo, SP",há 2 dias,2021-10-18,Toda função relacionada a Business Intelligence…,Não informado
Data Engineer-Business Intelligence,IBM,"Hortolândia, SP+1 local",há 16 dias,2021-10-18,"Experience with data pipelines (streaming and batch). Knowledge of massive data processing frameworks (eg Apache Kafka, Apache Spark, Apache Hadoop).",Não informado
Analista de Business Intelligence,SATÓRIA,"São Paulo, SP",há 25 dias,2021-10-18,"Responsabilidades: - Olhar a plataforma e gerar insights, primordialmente redes sociais; - Cuidar de SEO, Analytics, UI e performance; - Fazer leitura de…",R$ 5.500 - R$ 8.000 por mês
Analista de Business Intelligence - Operações,Beyond HR,"Sorocaba, SP",há 12 dias,2021-10-18,"Análise dos KPI’s (controle de estoque, prazo de entrega de carros, quantidade de carros entregues por mês, etc.).",Não informado
ANALISTA DE BUSINESS INTELLIGENCE (BI),AGROTERENAS,"Maracaí, SP",há 12 dias,2021-10-18,"Superior em Engenharia, Desenvolvimento de Sistemas ou áreas afins;",Não informado
Analista de Business Intelligence,Cielo,"Barueri, SP",há 9 dias,2021-10-18,Atuar em projetos para desenvolvimento de Dashboarts e Data Marts para atender as necessidades dos clientes e da empresa.,Não informado
Business Intelligence Intern (Estágio BI),Videojet,"Barueri, SP",há 30+ dias,2021-10-18,Responsibilities:  Work with a variety of data sources - extracting knowledge and different sets of data to gain actionable insights and improve the decision…,Não informado
Analista de Business Intelligence I,Principal,"São Paulo, SP",há 30+ dias,2021-10-18,Entrevista com usuário para entendimento da necessidade e levantamento dos requisitos; Experiência anterior nas atividades da vaga é imprescindivel;,Não informado
novaAnalista BI,S/A O Estado de São Paulo,"São Paulo, SP",Recém publicada,2021-10-18,"Colaborar com o time elaborando e testando novas ideias, ações e iniciativas que impactem positivamente o cliente e os KPIs da empresa.",R$ 5.000 - R$ 7.241 por mês
Analista de Business Intelligence,MOBILI PARTNERS,"São Paulo, SP",há 30+ dias,2021-10-18,Implantação de relatórios gerenciais em ferramenta de Business Intelligence.,Não informado
Analista de Business Intelligence,Publicis Worldwide,"Vila Nova, SP",há 30+ dias,2021-10-18,"A Publicis Brasil acredita que um time talentoso, engajado e diverso pode transformar o mercado e surpreender clientes e consumidores com as melhores soluções…",Não informado
novaBrazil IBM Internship Program - Blue Journey,IBM,"Hortolândia, SP",há 2 dias,2021-10-18,"To think along with clients and sell. Disponibilidade para estagiar, no mínimo, 1 ano e meio - 4 ou 6 horas por dia.",Não informado
novaArquiteto de DAdos BI,DECISION GROUP IT,"São Paulo, SP",Recém publicada,2021-10-18,"Skills Necessários: Big Data - SQL, Java, Spark, Hadoop, Hbase, Hive. Arquitetura de dados - Big Data (Obrigatório).",R$ 14.000 por mês
Business Intelligence-BR-Sao Paulo-Sao Paulo,Globant,"São Paulo, SP",há 30+ dias,2021-10-18,Each Studio represents deep pockets of expertise on the latest technologies and trends and delivers tailored solutions focused on specific challenges.,Não informado
Business Analytics Intelligence (BI),E-Crown Group,"São Paulo, SP",há 12 dias,2021-10-18,"Business Analytics, Intelligence (BI) para Ecommerce. Atividades: Análise de Dados; Estruturação, desenvolvimento e gerenciamento de databases (banco de dados)…",Não informado
novaData Engineer-Business Intelligence,IBM,"São Paulo, SP+1 local",há 1 dia,2021-10-18,"To think along with clients and sell. Obrigatórios: Oracle ou Teradata, SQL, ETL, Informatica PowerCenter, Unix, Shell Script.",Não informado
novaAnalista Business Intelligence - Senior,Iventis,"São Paulo, SP",há 3 dias,2021-10-18,Proficiência em banco de dados SQL e NoSQL. Conhecimento de modelos de atribuição de mídia - mídias digitais. Experiência em desenvolvimento de ELT com Python.,Não informado
Estagiário de Web Analytics / Business Intelligence,Holos Media,"Pinheiros, SP",há 19 dias,2021-10-18,"Analisar métricas (sites, campanhas e plataformas digitais); Interessante se já trabalhou com plataformas digitais.",Não informado
Consultor(a) de Business Intelligence - Microsoft,Arbit,"São Paulo, SP",há 27 dias,2021-10-18,Profissional com profundos conhecimentos em Business Intelligence para atuar em grandes projetos para uma multinacional americana.,Não informado
Supervisor(a) de Business Intelligence,Leo Burnett,"São Paulo, SP",há 10 dias,2021-10-18,"A LBTM é reconhecida no mercado por seu ambiente amigável e acolhedor, o que nos inspira na busca por novos talentos.",Não informado
Business Intelligence Analyst Junior,Avec,"Cerqueira César, SP",há 27 dias,2021-10-18,"Como Analista de BI Jr você será responsável por atuar no desenvolvimento e melhorias de aplicações de BI (Dashboard, Reports, KPIs e Data Mining).",Não informado
Business Intelligence Developer - Tableau/QlikView,Citi,"São Paulo, SP",há 13 dias,2021-10-18,Apply fundamental knowledge of business intelligence concepts for design specifications/solutions and dashboard development .,Não informado
Especialista em Business Intelligence,BR Malls,"São Paulo, SP",há 30+ dias,2021-10-18,Monitoramento do desenvolvimento de cargas de BI no ODI 12c; Acompanhamento da execução diária das cargas de BI; Validação de dados no data warehouse;,Não informado
Business Intelligence Senior CPG's [BR],Rappi,"São Paulo, SP",há 30+ dias,2021-10-18,"Have a degree in business management, engineering, or related fields. Ensuring customers have a flawless in-app shopping experience by influencing our Product…",Não informado
Analista de Business Intelligence Jr,Valid,"São Paulo, SP",há 30+ dias,2021-10-18,"Auxiliar no desenvolvimento de processos de ETL e modelagem de dados (cubos, views, data marts...). Superior completo em Ciências da Computação, Análise de…",Não informado
Analista de Business Intelligence Jr,C6 Bank,"São Paulo, SP",há 30+ dias,2021-10-18,Entender os dados necessários para a análise bem como a estrutura da informação para manipulá-la através de queries em SQL.,Não informado
Coordenador de Business Intelligence,Purple Cow,"São Paulo, SP",há 16 dias,2021-10-18,"Estamos em busca de uma coordenadora ou um coordenador de Data Strategy, que combine o conhecimento técnico, para atuar como foco em Business Intelligence e ser…",Não informado
Analista Business Intelligence (BI),RDC Viagens,"São Caetano do Sul, SP",há 30+ dias,2021-10-18,Banco de Dados Transacionais (SQL Server); Criação e gerenciamento de Data Warehousing e Data Mart (Analysis Services);,Não informado
Especialista em Business Intelligence,Curriculum.com.br,"São Paulo, SP",há 25 dias,2021-10-18,"Produção de relatórios dentro do escopo de projetos, trazendo insights para otimização e geração de resultados de negócio; Desenho e manutenção de dashboards em…",Não informado
Business Intelligence Analyst,Shopee,"São Paulo, SP",há 30+ dias,2021-10-18,Collaborate with other functions across the company to build reports and dashboards with useful analysis and data insights.,Não informado
Business Intelligence Specialist,GM Financial,"São Paulo, SP",há 13 dias,2021-10-18,Partners with and provides recommendations to business leadership on the appropriate application of analytics to business strategies and effectively…,Não informado
Banco Original - Especialista em Business Intelligence,Original,"São Paulo, SP",há 30+ dias,2021-10-18,"São mão na massa e buscam sempre ser o melhor naquilo que fazem. A vaga é para atuar no Time de Produtos Cartão de Crédito, no escopo de analytics e modelagem.",Não informado
novaBusiness Analyst,IBM,"São Paulo, SP",há 4 dias,2021-10-18,Be ready to navigate the complex relationships that make the business world run and find the actionable insights that result in great business decisions.,Não informado
Banco Original - Especialista em Business Intelligence,Original,"São Paulo, SP",há 30+ dias,2021-10-18,"São mão na massa e buscam sempre ser o melhor naquilo que fazem. A vaga é para atuar no Time de Produtos Cartão de Crédito, no escopo de analytics e modelagem.",Não informado
novaBusiness Analyst,IBM,"São Paulo, SP",há 4 dias,2021-10-18,Be ready to navigate the complex relationships that make the business world run and find the actionable insights that result in great business decisions.,Não informado
novaBUSINESS INTELLIGENCE ANALYST PLENO,Agibank,"Campinas, SP",há 1 dia,2021-10-18,"Pensar como cliente, o que significa começar sempre pelas suas dores e tomar apenas atitudes que o fazem prosperar.",Não informado
BI (Business Intelligence),Superunion,"São Paulo, SP",há 25 dias,2021-10-18,"Trazer insights baseados em dados que auxiliem no planejamento de campanhas de sucesso. Potencializar o processo de geração de leads, cadastros, vendas e…",Não informado
Head de Business Intelligence,iDigital,"São Paulo, SP",há 25 dias,2021-10-18,"Job Description: Head de Bi para gerenciar a área; Terá sobre responsabilidade o time de BI de mídia além de outras áreas dentro da agência, como web analytics…",R$ 15.000 - R$ 20.000 por ano
Business Intelligence Jr Manager - Reckitt Health & Nutritio...,Reckitt,"São Paulo, SP",há 30+ dias,2021-10-18,Give clear intelligence-based recommendations which help the business to take decisions through data synthesis;,Não informado
